driveruuid,week_date,supply_hours,trip_hours
38892d97-929e-419b-8e77-28ead1e48ba9,11/22/2021,70.06666,26.03333
fefbb0ca-d5a4-46b0-97ad-855f3a8422bf,11/22/2021,87.06666,49.78333
23767254-acb5-4577-b91d-899f148305b7,11/22/2021,53.33333,32.35
a1446a7d-2373-4286-b148-572dbc29cc4b,11/22/2021,24.18333,11.48333
03e58d6e-0265-4b6f-9b81-2f272a8b2169,11/22/2021,76.61666,29.5
cc955133-9e3a-4959-bc22-4eebe4236412,11/22/2021,72.28333,42.66666
7951e2bb-05d4-468b-a745-4b4f87e548b3,11/22/2021,55.56666,30.76666
e568f1b6-230d-4f02-9a48-b3b1f6abe06c,11/22/2021,71,35.83333
4f6a3fd2-2312-467b-9f34-c53d07e19cf5,11/22/2021,28.25,9.15
ab0c2d68-737b-4b39-a2bd-a57068184096,11/22/2021,59.63333,28.25
18306656-762e-484f-8fb9-f363082beee5,11/22/2021,54.55,20.83333
f635fe03-ca19-46c2-be6a-e7d0ed94ba26,11/22/2021,50.96666,25.75
a4812789-4bcb-43fb-ae12-36d5830c721a,11/22/2021,33.98333,18.55
ecf58a3a-6150-4f48-9e24-185c02b00c0f,11/22/2021,71.26666,32.35
72726042-8296-4d3e-8e92-b3af8796cadf,11/22/2021,63.15,33.05
fdf020a0-2255-45a3-bf8f-690790aa779a,11/22/2021,18.7,8.88333
315b1906-7c4a-4c88-ae96-5078475a0d1a,11/22/2021,61.5,27.75
7e574e04-e42e-4b40-b9bc-e4fc99f92822,11/22/2021,61.11666,14.66666
10331f84-271a-4d04-87db-c1f06705b140,11/22/2021,88.83333,49.15
5070b315-eba0-4478-bd47-2fc1318bec56,11/22/2021,79.51666,37.28333
795d9d2a-a0fc-414d-b619-f17396891511,11/22/2021,66.9,18.76666
b507b4f1-435b-4096-903c-8a8b8ffcdcaf,11/22/2021,3,0.75
1922032d-26ad-469d-8747-75dc05d5c491,11/22/2021,71.7,39.45
fed9343c-8330-415e-ac41-9882cfa6d0e1,11/22/2021,9.71666,4.73333
c2f9941e-737e-428b-b2a1-ea034759bb0f,11/22/2021,60.36666,30.31666
d5b92e0a-b71d-4fe4-9590-c784e402246a,11/22/2021,35.21666,9.36666
62588413-4dad-4b90-93e4-819f63bdae67,11/22/2021,82.1,50.83333
38672f8a-80f5-4d99-8bc2-687bf3bbbc6c,11/22/2021,56.9,18.56666
64d16747-31a1-4ba2-9e92-0107b7d6bdcd,11/22/2021,70.85,24.3
8b58fe38-1968-41e3-ae48-581e0bf98a2b,11/22/2021,65.83333,16.71666
07e356ec-3be2-48f4-8bd7-443259321469,11/22/2021,54.05,25.61666
10374e3b-1a64-4f83-86f6-56a0707cfb4d,11/22/2021,63.08333,27.53333
f461930b-f3b0-42a2-989d-21551dd730ad,11/22/2021,55.63333,27.81666
9e7cb1a7-b0ef-46b7-9358-0e08a57133ad,11/22/2021,73.05,37.26666
aa0c2e75-7b43-49a2-9249-b931436539b2,11/22/2021,69.73333,23.23333
e989d85d-3796-4958-97d5-a5e1bbbf5b4e,11/22/2021,63.91666,35.88333
f8acbfc6-dbf5-42ec-9ae2-64c90874d815,11/22/2021,64.01666,14.06666
d0233aeb-ef6b-4576-a686-6d268a3e1edf,11/22/2021,31.11666,8.11666
f0b2c986-33c9-421d-b6af-58992d1e96fe,11/22/2021,19.88333,11.03333
8b4a852b-a20e-4c9a-95cd-fe4a532033a1,11/22/2021,64.4,31.76666
2fd50bf2-e158-4ea6-a6d4-12131d322374,11/22/2021,61.75,17.65
230c214d-5f88-44dc-92b6-f9622ef1bce4,11/22/2021,59.46666,29.75
ebe841ff-c9dd-4477-bdea-cba1ecf27f36,11/22/2021,60.91666,28.33333
c34b2754-b2cb-425b-a60d-de89fa45cce3,11/22/2021,64.85,14.93333
642190f4-6e94-464d-b722-af7053996efe,11/22/2021,45.08333,18.53333
7ea0bde7-40e4-4e95-b783-1e2baf776393,11/22/2021,66.08333,32.56666
ca28e5e6-0944-4cac-9e92-1741421e0165,11/22/2021,83.73333,42.13333
92679160-f742-4424-a6df-b6424ee49c81,11/22/2021,72.76666,41.63333
9dc18c52-52d1-492e-a951-961da5bd2c55,11/22/2021,80.13333,37.71666
42d1861f-7e1c-4d83-b912-84a7351870c4,11/22/2021,62.46666,16.95
4378e378-898e-43fd-a1c8-0f22d59621e8,11/22/2021,54.36666,15.4
0c09298b-4156-483c-b8ca-f7bff13693d3,11/22/2021,58.28333,28.66666
5dd17596-5fbf-45e0-83fc-03051c652f3e,11/22/2021,64.61666,36.43333
